1,1,川沙,N
1,1,公路,N
1,1,較,ADV
1,1,近,Vi
1,1,公交,N
1,1,指示,Vt
1,1,不,ADV
1,1,對,Vi
1,1,是,Vt
1,1,蔡陸線,N
1,1,話,N
1,1,會,ADV
1,1,非常,ADV
1,1,麻煩,Vt
1,1,建議,N
1,1,路線,N
1,1,房間,N
1,1,較為,ADV
1,1,簡單,Vi
2,1,商務,N
2,1,大,Vi
2,1,床,N
2,1,房,N
2,1,房間,N
2,1,很,ADV
2,1,大,Vi
2,1,床,N
2,1,有,Vt
2,1,寬,Vi
2,1,整體,N
2,1,感覺,N
2,1,經濟,N
2,1,實惠,Vi
2,1,不錯,Vi
3,1,位置,N
3,1,我們,N
3,1,單位,N
3,1,很,ADV
3,1,近,Vi
3,1,價格,N
3,1,來,ADV
3,1,說,Vt
3,1,性價,N
3,1,很,ADV
3,1,高,Vi
3,1,我,N
3,1,要,ADV
3,1,大,Vi
3,1,床,N
3,1,房,N
3,1,前台,N
3,1,服務員,N
3,1,態度,N
3,1,很,ADV
3,1,好,Vi
3,1,房間,N
3,1,硬件,N
3,1,想想,Vt
3,1,價格,N
3,1,也,ADV
3,1,就,ADV
3,1,這樣,Vi
3,1,還,ADV
3,1,算,Vt
3,1,乾淨,Vi
3,1,床,N
3,1,墊子,N
3,1,太,ADV
3,1,硬,Vi
3,1,沒有,Vt
3,1,電話,N
3,1,很,ADV
3,1,好,Vi
3,1,補充,Vt
3,1,點評,N
3,1,2008年,N
3,1,3月,N
3,1,4日,N
3,1,對了,Vi
3,1,這裡,N
3,1,能夠,ADV
3,1,免費,Vi
3,1,剛好,ADV
3,1,上網,Vi
3,1,加班,Vi
3,1,很,ADV
3,1,不錯,Vi
4,1,房間,N
4,1,還,ADV
4,1,算,Vt
4,1,乾淨,Vi
4,1,整潔,Vi
4,1,也,ADV
4,1,可以,ADV
4,1,價格,N
4,1,來,ADV
4,1,說,Vt
4,1,不錯,Vi
4,1,建議,Vt
4,1,大家,N
4,1,要,ADV
4,1,定,ADV
4,1,有,Vt
4,1,窗戶,N
4,1,房間,N
4,1,餐廳,N
4,1,不,ADV
4,1,夠,ADV
4,1,好,Vi
4,1,有,Vt
4,1,吃,Vt
4,1,蘑菇,N
4,1,是,Vt
4,1,酸,Vi
4,1,附近,N
4,1,沒有,Vt
4,1,超市,N
4,1,不,ADV
4,1,太,ADV
4,1,方便,Vi
4,1,買,Vt
4,1,水果,N
4,1,都,ADV
4,1,要,ADV
4,1,走,Vi
4,1,很,ADV
4,1,遠,Vi
5,1,川沙,N
5,1,公路,N
5,1,較,ADV
5,1,近,Vi
5,1,公交,N
5,1,指示,Vt
5,1,不,ADV
5,1,對,Vi
5,1,是,Vt
5,1,蔡陸線,N
5,1,話,N
5,1,會,ADV
